iter	Passed	Remaining
819	103721	22768
820	103801	22631
821	103897	22498
822	104031	22373
823	104166	22249
824	104254	22114
825	104322	21975
826	104389	21837
827	104457	21698
828	104513	21558
829	104570	21418
830	104641	21280
831	104712	21143
832	104788	21008
833	104859	20871
834	104946	20737
835	105017	20601
836	105079	20463
837	105134	20324
838	105197	20186
839	105251	20047
840	105304	19908
841	105385	19775
842	105462	19641
843	105539	19507
844	105667	19382
845	105857	19269
846	106059	19158
847	106222	19039
848	106398	18923
849	106560	18804
850	106792	18698
851	106971	18581
852	107142	18464
853	107308	18345
854	107489	18229
855	107640	18107
856	107819	17990
857	107996	17873
858	108190	17758
859	108370	17641
860	108569	17527
861	108768	17413
862	108975	17299
863	109165	17183
864	109366	17068
865	109530	16948
866	109695	16827
867	109874	16709
868	110055	16590
869	110266	16476
870	110446	16357
871	110631	16239
872	110795	16118
873	110966	15997
874	111186	15883
875	111358	15763
876	111547	15644
877	111723	15524
878	111880	15401
879	112035	15277
880	112205	15156
881	112369	15033
882	112537	14911
883	112760	14796
884	112942	14676
885	113187	14563
886	113388	14445
887	113553	14322
888	113740	14201
889	113915	14079
890	114087	13956
891	114308	13840
892	114464	13715
893	114633	13591
894	114815	13470
895	115007	13349
896	115171	13224
897	115311	13097
898	115471	12972
899	115655	12850
900	115812	12725
901	115986	12601
902	116141	12475
903	116314	12351
904	116484	12227
905	116642	12102
906	116837	11979
907	117006	11855
908	117155	11728
909	117296	11600
910	117421	11471
911	117550	11342
912	117681	11213
913	117858	11089
914	118030	10964
915	118209	10840
916	118401	10716
917	118564	10590
918	118751	10466
919	118931	10341
920	119125	10218
921	119278	10090
922	119464	9966
923	119631	9839
924	119865	9718
925	120051	9593
926	120246	9469
927	120410	9342
928	120599	9216
929	120801	9092
930	120979	8966
931	121162	8840
932	121303	8710
933	121469	8583
934	121701	8460
935	121900	8335
936	122082	8208
937	122253	8080
938	122424	7953
939	122614	7826
940	122798	7699
941	122954	7570
942	123093	7440
943	123225	7309
944	123382	7181
945	123542	7052
946	123704	6923
947	123861	6794
948	124073	6667
949	124281	6541
950	124420	6410
951	124589	6281
952	124753	6152
953	124942	6024
954	125100	5894
955	125233	5763
956	125388	5633
957	125524	5503
958	125652	5372
959	125815	5242
960	125950	5111
961	126071	4979
962	126216	4849
963	126387	4719
964	126543	4589
965	126726	4460
966	126868	4329
967	127034	4199
968	127214	4069
969	127372	3939
970	127509	3808
971	127681	3678
972	127807	3546
973	127942	3415
974	128051	3283
975	128194	3152
976	128362	3021
977	128497	2890
978	128636	2759
979	128774	2628
980	128923	2496
981	129063	2365
982	129206	2234
983	129348	2103
984	129506	1972
985	129642	1840
986	129774	1709
987	129911	1577
988	130071	1446
989	130218	1315
990	130373	1184
991	130505	1052
992	130652	921
993	130819	789
994	130977	658
995	131124	526
996	131268	394
997	131445	263
998	131575	131
999	131728	0
